Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
100_147,176.2845978,338.27585,452.6226162,212.00191,494.6711232,29.44470974,736.5837523,1002.900376,1,1497.571499
100_85,180,388.6057957,519.9655013,172.8061269,403.2142959,24.00085097,846.1754368,1081.377424,1,1484.59172
100_86,180,376.3699363,503.5935767,182.3111082,425.3925857,25.32098726,819.5322838,1062.274621,1,1487.667207
100_87,180,354.8196397,474.7586729,182.9440886,426.86954,25.40890121,772.6072719,1012.522401,1,1439.391941
100_88,180,435.6761029,582.9468983,161.1678462,376.0583078,22.3844231,948.6693734,1179.790847,1,1555.849155
100_89,180,366.8790617,490.8945193,208.1613445,485.7098038,28.91129787,798.8662387,1065.934926,1,1551.644729
100_90,180,414.2492917,554.2772213,211.9564891,494.5651412,29.43840129,902.0132465,1180.483002,1,1675.048143
100_91,180,392.6788488,525.4153611,198.3439056,462.8024464,27.54776469,855.0443666,1116.438116,1,1579.240562
100_92,180,391.1701479,523.3966769,169.4934013,395.4846029,23.5407502,851.7592236,1084.060226,1,1479.544829
100_93,180,408.8201126,547.0128267,176.8570984,412.6665629,24.56348591,890.1914001,1132.690038,1,1545.356601
100_94,180,371.7261876,497.3801102,177.7864602,414.8350737,24.69256393,809.4206846,1046.892758,1,1461.727832
100_95,180,403.4815345,539.8696589,177.9299929,415.1699833,24.71249903,878.5668343,1121.281186,1,1536.45117
100_96,180,405.6299334,542.7442771,187.2533746,436.9245408,26.00741316,883.2448972,1135.627585,1,1572.552126
100_97,180,431.2619641,577.0406562,167.7417795,391.3974855,23.29746939,939.0577416,1176.0444,1,1567.441885
100_98,180,423.3747879,566.4873923,165.9113336,387.1264451,23.0432408,921.8836931,1155.773514,1,1542.899959
100_99,180,352.3310926,471.4289268,154.9405933,361.528051,21.51952687,767.1885482,978.7006127,1,1340.228664
101_100,180,431.0892876,576.8096102,182.0767305,424.8457045,25.28843482,938.6817445,1189.975628,1,1614.821333
101_101,180,416.5780416,557.3931543,242.9421157,566.8649366,33.74196054,907.0840173,1216.913312,1,1783.778248
101_102,180,584.021193,781.4368076,160.9751029,375.6085733,22.35765319,1271.685584,1526.433103,1,1902.041677
101_103,180,544.9240816,729.1237712,171.2720055,399.6346793,23.78777856,1186.553,1445.319858,1,1844.954538
101_104,180,532.3478007,712.2963531,140.5217355,327.8840496,19.51690773,1159.168591,1385.165889,1,1713.049939
101_105,180,577.0801218,772.1494588,131.933226,307.8441939,18.32405918,1256.571646,1481.162807,1,1789.007001
101_106,180,557.0254522,745.3157459,161.5095311,376.8555725,22.43187933,1212.903309,1463.850729,1,1840.706302
101_107,180,515.5144019,689.7727914,145.0202199,338.3805131,20.14169723,1122.514458,1350.307413,1,1688.687926
101_108,180,490.772682,656.6676732,176.2703253,411.2974256,24.48198964,1068.640234,1323.710681,1,1735.008106
101_109,180,536.6059975,717.9939403,150.1169417,350.272864,20.84957526,1168.440665,1404.716879,1,1754.989743
101_110,180,525.3844068,702.9791359,158.241722,369.2306845,21.97801696,1144.006046,1386.605265,1,1755.835949
101_111,180,538.4211186,720.4226236,175.2445941,408.9040528,24.33952698,1172.393027,1434.088336,1,1842.992389
101_112,150.5507112,288.8946081,386.5491235,206.1212739,480.9496391,28.62795473,629.0578368,881.5650055,1,1362.514645
101_113,171.4052329,328.9127443,440.094517,160.7589842,375.1042963,22.32763671,716.1959193,929.7662455,1,1304.870542
101_114,180,384.1492853,514.0025648,182.2832933,425.3276843,25.31712409,836.4715423,1080.435143,1,1505.762828
101_115,180,378.0316695,505.8170226,167.0925441,389.8826028,23.20729781,823.1506493,1050.941236,1,1440.823839
101_116,180,370.1712736,495.2995915,176.6365837,412.1520285,24.53285886,806.0349141,1042.107449,1,1454.259477
101_117,180,388.4519454,519.7596453,164.9725739,384.9360056,22.9128575,845.8404333,1073.184165,1,1458.12017
101_118,180,401.3751519,537.0512596,132.0342474,308.0799105,18.33808993,873.9802604,1070.460659,1,1378.540569
101_119,136.8883811,262.6777043,351.4701678,173.7187099,405.3436563,24.12759861,571.971452,787.866582,1,1193.210238
101_120,180,358.5712796,479.7784727,156.5147193,365.2010115,21.73815547,780.7763355,994.8644715,1,1360.065483
101_121,180,394.5317154,527.8945488,166.9687962,389.5938578,23.19011061,859.0789184,1089.39506,1,1478.988918
101_122,180,381.1175758,509.9460522,200.1391157,466.99127,27.79709943,829.8701017,1091.202744,1,1558.194014
101_123,157.3584738,301.9581526,404.0285141,165.4259681,385.9939255,22.97582892,657.503245,871.4126348,1,1257.40656
101_124,152.4316189,292.5039175,391.3784811,177.5719367,414.3345189,24.662769,636.9169809,861.4543353,1,1275.788854
101_125,134.78238,258.636459,346.0628677,227.7317491,531.3740812,31.62940963,563.1717825,832.4310757,1,1363.805157
101_126,135.286226,259.6032988,347.3565265,211.7246799,494.024253,29.40620556,565.2770421,818.6845052,1,1312.708758
101_127,129.0127495,247.565006,331.2489517,165.0141617,385.0330438,22.91863358,539.0640835,743.8281193,1,1128.861163
101_128,147.1934252,282.4522485,377.9290649,187.9233312,438.4877726,26.10046268,615.0298256,848.3046446,1,1286.792417
101_129,180,347.0324054,464.339134,181.9055006,424.446168,25.26465288,755.6508433,993.2770399,1,1417.723208
101_130,179.842316,345.1028227,461.757298,155.8465712,363.6419995,21.64535713,751.4492449,962.7066919,1,1326.348691
101_131,180,389.3858545,521.009242,194.2644286,453.2836668,26.98117067,847.8739875,1104.659525,1,1557.943192
101_132,180,360.9110648,482.9091713,225.6775458,526.58094,31.3441036,785.8711355,1069.497782,1,1596.078722
