Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6, TSUM7,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
100_139,68.69011002,286.8822239,191.9282485,252.5371689,203.305676,406.6113521,25.4132095,701.043181,934.6533173,35,1,1341.264669
100_140,70.44735948,294.2213246,196.8382102,258.9976448,185.3470998,370.6941997,23.16838748,718.9774622,935.4042794,35,1,1306.098479
100_141,66.29363833,276.8734303,185.2322247,243.7266112,232.877648,465.755296,29.109706,676.5850729,938.7099142,35,1,1404.46521
100_142,65.68551512,274.3336216,183.5330569,241.4908641,188.1807265,376.361453,23.52259081,670.3786389,887.5382691,35,1,1263.899722
100_143,64.85922059,270.8826268,181.2242927,238.4530165,161.5389773,323.0779546,20.19237216,661.9455741,852.0989134,35,1,1175.176868
100_144,63.88803131,266.8264834,178.5106756,234.8824677,265.9984529,531.9969057,33.24980661,652.0337307,946.2180796,35,1,1478.214985
100_145,66.8170666,279.0595131,186.6947448,245.6509798,253.1589727,506.3179453,31.64487158,681.9271202,964.5642105,35,1,1470.882156
100_146,68.57813393,286.414559,191.6153741,252.1254921,201.1953939,402.3907878,25.14942424,699.9003662,931.3508191,35,1,1333.741607
100_147,67.86763736,283.447191,189.6301631,249.5133723,186.167316,372.3346321,23.2709145,692.6491217,908.7580424,35,1,1281.092675
100_85,68.99825578,288.1691856,192.789244,253.6700577,163.7967106,327.5934212,20.47458883,704.1880803,898.4251979,35,1,1226.018619
100_86,66.69665435,278.5566149,186.3582988,245.2082877,203.2447225,406.489445,25.40559031,680.6982069,913.367924,35,1,1319.857369
100_87,65.99496034,275.6260105,184.3976832,242.6285303,190.943891,381.8877821,23.86798638,673.5368004,893.596115,35,1,1275.483897
100_88,66.85944978,279.2365252,186.8131684,245.8068003,178.8209409,357.6418818,22.35261761,682.359678,890.6774349,35,1,1248.319317
100_89,71.93636092,300.4400953,200.9986554,264.4719148,205.6991595,411.3983189,25.71239493,734.1740357,971.609825,35,1,1383.008144
100_90,74.42684554,310.841531,207.9573624,273.6281082,191.5697208,383.1394416,23.9462151,759.5916287,983.9967225,35,1,1367.136164
100_91,71.40163238,298.2068172,199.504561,262.506001,220.9978896,441.9957792,27.6247362,728.7166591,981.2152688,35,1,1423.211048
100_92,69.51214987,290.3154491,194.2251245,255.5593742,208.3440163,416.6880327,26.04300204,709.4328229,948.4439641,35,1,1365.131997
100_93,60.23570818,251.5726633,168.3056551,221.4548092,214.0685642,428.1371283,26.75857052,614.7585505,855.4016918,35,1,1283.53882
100_94,68.9842845,288.1108349,192.7502066,253.6186927,163.3254575,326.650915,20.41568218,704.045491,897.8051916,35,1,1224.456107
100_95,61.87786893,258.4310994,172.8940455,227.4921649,150.9198221,301.8396443,18.86497777,631.5182499,809.7371319,35,1,1111.576776
100_96,63.7754673,266.3563631,178.1961585,234.4686295,213.6901424,427.3802849,26.71126781,650.8849156,892.7112936,35,1,1320.091578
100_97,62.07919985,259.271952,173.4565877,228.2323521,162.644725,325.2894499,20.33059062,633.5730095,823.6056168,35,1,1148.895067
100_98,56.02759681,233.9976099,156.5476969,205.9838115,214.5229336,429.0458671,26.8153667,571.811061,811.0520519,35,1,1240.097919
100_99,53.93299166,225.2495531,150.6951237,198.2830573,158.4793781,316.9587562,19.80992226,550.4337672,732.7071122,35,1,1049.665868
101_100,62.69613532,261.8485648,175.180378,230.5004972,234.1835946,468.3671893,29.27294933,639.8693804,901.7130347,35,1,1370.080224
