Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,TSUM_6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate,MinimumTemperatureForAssimilation,OptimumTemperatureForAssimilation,MaximumTemperatureForAssimilation
103_124,63.33585414,264.5203317,176.9678277,232.8524046,177.7864597,355.5729194,22.22330746,646.3982754,852.1270237,35,1,1207.699943,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_125,58.924717,246.0973472,164.6425916,216.6349887,194.8496858,389.6993716,24.35621073,601.3787288,822.2246133,35,1,1211.923985,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_126,62.37968301,260.5269111,174.296173,229.3370696,239.7777225,479.555445,29.97221531,636.6397054,903.9378762,35,1,1383.493321,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_127,64.24301245,268.3090517,179.5025347,236.1875455,202.2733038,404.5466076,25.28416298,655.6566264,886.2724357,35,1,1290.819043,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_128,59.85815653,249.9958299,167.2507314,220.0667516,203.5280082,407.0560164,25.44100103,610.9053027,840.8413211,35,1,1247.897338,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_129,65.77899389,274.724033,183.7942476,241.8345361,258.7480047,517.4960094,32.34350059,671.3326723,959.1008213,35,1,1476.596831,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_130,65.47971174,273.4740899,182.958018,240.734234,225.8087207,451.6174414,28.22609009,668.2782339,922.9750627,35,1,1374.592504,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_131,65.76083914,274.6482102,183.743521,241.7677906,199.5497472,399.0994944,24.9437184,671.147387,899.7092691,35,1,1298.808763,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_132,64.72261698,270.3121059,180.8426062,237.9507974,225.7535085,451.507017,28.21918856,660.5514138,914.859018,35,1,1366.366035,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_133,65.31527357,272.7873187,182.4985584,240.1296819,224.0880677,448.1761354,28.01100846,666.5999972,919.5036267,35,1,1367.679762,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_134,64.84242633,270.8124861,181.1773676,238.3912729,243.2943451,486.5886902,30.41179314,661.7741739,933.6754717,35,1,1420.264162,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_135,64.40741639,268.9956799,179.9618987,236.7919717,228.2707062,456.5414124,28.53383828,657.3345137,914.0202565,35,1,1370.561669,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_136,60.91792099,254.421905,170.211838,223.9629445,233.1535621,466.3071242,29.14419526,621.7211341,881.7502496,35,1,1348.057374,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_137,64.41188593,269.0143468,179.9743871,236.8084038,185.1727298,370.3454596,23.14659123,657.3801293,870.9698675,35,1,1241.315327,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_138,61.4051816,256.4569346,171.5733014,225.7543438,225.0606298,450.1212596,28.13257873,626.6940586,878.8452096,35,1,1328.966469,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
103_139,58.60708881,244.7707824,163.755101,215.467238,218.3844818,436.7689636,27.29806023,598.1370529,842.3776032,35,1,1279.146567,0.28,0.28,0.31,0.28,0.015,0.03,0.015,0.01,60,8,28.5,39.5
