row,col,Grid_Code,Location,vScenario,Crop,vSowingDOY_ob,vFloweringDOY_ob,vHarvestDOY_ob
188,134,188134,188_134,Historical,WW,251,173,225
145,102,145102,145_102,Historical,WW,251,173,225
139,103,139103,139_103,Historical,WW,251,173,225
144,103,144103,144_103,Historical,WW,251,173,225
142,98,142098,142_98,Historical,WW,251,173,225
145,98,145098,145_98,Historical,WW,251,173,225
174,118,174118,174_118,Historical,WW,251,173,225
155,110,155110,155_110,Historical,WW,251,173,225
180,119,180119,180_119,Historical,WW,251,173,225
186,126,186126,186_126,Historical,WW,251,173,225
150,102,150102,150_102,Historical,WW,251,173,225
146,98,146098,146_98,Historical,WW,251,173,225
142,102,142102,142_102,Historical,WW,251,173,225
142,100,142100,142_100,Historical,WW,251,173,225
96,139,96139,96_139,Historical,WW,251,173,225
146,102,146102,146_102,Historical,WW,251,173,225
167,121,167121,167_121,Historical,WW,251,173,225
153,113,153113,153_113,Historical,WW,251,173,225
154,113,154113,154_113,Historical,WW,251,173,225
168,121,168121,168_121,Historical,WW,251,173,225
179,121,179121,179_121,Historical,WW,251,173,225
141,104,141104,141_104,Historical,WW,251,173,225
158,113,158113,158_113,Historical,WW,251,173,225
174,116,174116,174_116,Historical,WW,251,173,225
150,101,150101,150_101,Historical,WW,251,173,225
139,105,139105,139_105,Historical,WW,251,173,225
186,134,186134,186_134,Historical,WW,251,173,225
181,122,181122,181_122,Historical,WW,251,173,225
146,105,146105,146_105,Historical,WW,251,173,225
152,113,152113,152_113,Historical,WW,251,173,225
166,121,166121,166_121,Historical,WW,251,173,225
182,118,182118,182_118,Historical,WW,251,173,225
153,108,153108,153_108,Historical,WW,251,173,225
155,113,155113,155_113,Historical,WW,251,173,225
156,108,156108,156_108,Historical,WW,251,173,225
178,115,178115,178_115,Historical,WW,251,173,225
171,118,171118,171_118,Historical,WW,251,173,225
185,125,185125,185_125,Historical,WW,251,173,225
151,99,151099,151_99,Historical,WW,251,173,225
167,122,167122,167_122,Historical,WW,251,173,225
155,112,155112,155_112,Historical,WW,251,173,225
183,122,183122,183_122,Historical,WW,251,173,225
184,122,184122,184_122,Historical,WW,251,173,225
173,130,173130,173_130,Historical,WW,251,173,225
153,104,153104,153_104,Historical,WW,251,173,225
156,110,156110,156_110,Historical,WW,251,173,225
179,115,179115,179_115,Historical,WW,251,173,225
168,113,168113,168_113,Historical,WW,251,173,225
147,100,147100,147_100,Historical,WW,251,173,225
167,114,167114,167_114,Historical,WW,251,173,225
156,107,156107,156_107,Historical,WW,251,173,225
157,107,157107,157_107,Historical,WW,251,173,225
147,98,147098,147_98,Historical,WW,251,173,225
141,100,141100,141_100,Historical,WW,251,173,225
184,121,184121,184_121,Historical,WW,251,173,225
187,127,187127,187_127,Historical,WW,251,173,225
154,107,154107,154_107,Historical,WW,251,173,225
156,106,156106,156_106,Historical,WW,251,173,225
179,118,179118,179_118,Historical,WW,251,173,225
147,102,147102,147_102,Historical,WW,251,173,225
143,98,143098,143_98,Historical,WW,251,173,225
143,101,143101,143_101,Historical,WW,251,173,225
158,115,158115,158_115,Historical,WW,251,173,225
159,115,159115,159_115,Historical,WW,251,173,225
165,115,165115,165_115,Historical,WW,251,173,225
151,101,151101,151_101,Historical,WW,251,173,225
153,112,153112,153_112,Historical,WW,251,173,225
149,107,149107,149_107,Historical,WW,251,173,225
153,107,153107,153_107,Historical,WW,251,173,225
167,116,167116,167_116,Historical,WW,251,173,225
181,118,181118,181_118,Historical,WW,251,173,225
173,129,173129,173_129,Historical,WW,251,173,225
153,115,153115,153_115,Historical,WW,251,173,225
155,115,155115,155_115,Historical,WW,251,173,225
173,118,173118,173_118,Historical,WW,251,173,225
179,119,179119,179_119,Historical,WW,251,173,225
153,110,153110,153_110,Historical,WW,251,173,225
168,118,168118,168_118,Historical,WW,251,173,225
150,99,150099,150_99,Historical,WW,251,173,225
183,119,183119,183_119,Historical,WW,251,173,225
174,117,174117,174_117,Historical,WW,251,173,225
166,116,166116,166_116,Historical,WW,251,173,225
152,107,152107,152_107,Historical,WW,251,173,225
171,129,171129,171_129,Historical,WW,251,173,225
155,106,155106,155_106,Historical,WW,251,173,225
152,106,152106,152_106,Historical,WW,251,173,225
151,106,151106,151_106,Historical,WW,251,173,225
161,116,161116,161_116,Historical,WW,251,173,225
149,102,149102,149_102,Historical,WW,251,173,225
158,111,158111,158_111,Historical,WW,251,173,225
155,107,155107,155_107,Historical,WW,251,173,225
168,114,168114,168_114,Historical,WW,251,173,225
136,105,136105,136_105,Historical,WW,251,173,225
180,122,180122,180_122,Historical,WW,251,173,225
147,107,147107,147_107,Historical,WW,251,173,225
95,139,95139,95_139,Historical,WW,251,173,225
182,122,182122,182_122,Historical,WW,251,173,225
178,118,178118,178_118,Historical,WW,251,173,225
162,114,162114,162_114,Historical,WW,251,173,225
183,118,183118,183_118,Historical,WW,251,173,225
169,123,169123,169_123,Historical,WW,251,173,225
173,123,173123,173_123,Historical,WW,251,173,225
181,123,181123,181_123,Historical,WW,251,173,225
152,109,152109,152_109,Historical,WW,251,173,225
173,116,173116,173_116,Historical,WW,251,173,225
152,103,152103,152_103,Historical,WW,251,173,225
138,101,138101,138_101,Historical,WW,251,173,225
181,134,181134,181_134,Historical,WW,251,173,225
152,101,152101,152_101,Historical,WW,251,173,225
186,133,186133,186_133,Historical,WW,251,173,225
156,112,156112,156_112,Historical,WW,251,173,225
168,123,168123,168_123,Historical,WW,251,173,225
175,131,175131,175_131,Historical,WW,251,173,225
178,119,178119,178_119,Historical,WW,251,173,225
172,115,172115,172_115,Historical,WW,251,173,225
152,110,152110,152_110,Historical,WW,251,173,225
183,125,183125,183_125,Historical,WW,251,173,225
184,125,184125,184_125,Historical,WW,251,173,225
148,99,148099,148_99,Historical,WW,251,173,225
158,110,158110,158_110,Historical,WW,251,173,225
179,122,179122,179_122,Historical,WW,251,173,225
159,114,159114,159_114,Historical,WW,251,173,225
176,118,176118,176_118,Historical,WW,251,173,225
151,107,151107,151_107,Historical,WW,251,173,225
177,119,177119,177_119,Historical,WW,251,173,225
176,119,176119,176_119,Historical,WW,251,173,225
154,116,154116,154_116,Historical,WW,251,173,225
159,116,159116,159_116,Historical,WW,251,173,225
148,102,148102,148_102,Historical,WW,251,173,225
166,114,166114,166_114,Historical,WW,251,173,225
183,124,183124,183_124,Historical,WW,251,173,225
185,126,185126,185_126,Historical,WW,251,173,225
151,102,151102,151_102,Historical,WW,251,173,225
170,114,170114,170_114,Historical,WW,251,173,225
149,100,149100,149_100,Historical,WW,251,173,225
150,100,150100,150_100,Historical,WW,251,173,225
164,116,164116,164_116,Historical,WW,251,173,225
161,114,161114,161_114,Historical,WW,251,173,225
191,138,191138,191_138,Historical,WW,251,173,225
189,127,189127,189_127,Historical,WW,251,173,225
161,112,161112,161_112,Historical,WW,251,173,225
184,130,184130,184_130,Historical,WW,251,173,225
155,108,155108,155_108,Historical,WW,251,173,225
165,119,165119,165_119,Historical,WW,251,173,225
137,106,137106,137_106,Historical,WW,251,173,225
141,99,141099,141_99,Historical,WW,251,173,225
153,103,153103,153_103,Historical,WW,251,173,225
166,115,166115,166_115,Historical,WW,251,173,225
172,119,172119,172_119,Historical,WW,251,173,225
173,119,173119,173_119,Historical,WW,251,173,225
191,139,191139,191_139,Historical,WW,251,173,225
188,127,188127,188_127,Historical,WW,251,173,225
149,106,149106,149_106,Historical,WW,251,173,225
154,106,154106,154_106,Historical,WW,251,173,225
167,118,167118,167_118,Historical,WW,251,173,225
167,113,167113,167_113,Historical,WW,251,173,225
182,125,182125,182_125,Historical,WW,251,173,225
149,99,149099,149_99,Historical,WW,251,173,225
178,126,178126,178_126,Historical,WW,251,173,225
147,99,147099,147_99,Historical,WW,251,173,225
148,100,148100,148_100,Historical,WW,251,173,225
157,114,157114,157_114,Historical,WW,251,173,225
160,110,160110,160_110,Historical,WW,251,173,225
150,107,150107,150_107,Historical,WW,251,173,225
147,106,147106,147_106,Historical,WW,251,173,225
162,110,162110,162_110,Historical,WW,251,173,225
153,111,153111,153_111,Historical,WW,251,173,225
156,116,156116,156_116,Historical,WW,251,173,225
158,116,158116,158_116,Historical,WW,251,173,225
157,111,157111,157_111,Historical,WW,251,173,225
169,126,169126,169_126,Historical,WW,251,173,225
182,123,182123,182_123,Historical,WW,251,173,225
187,126,187126,187_126,Historical,WW,251,173,225
142,99,142099,142_99,Historical,WW,251,173,225
172,117,172117,172_117,Historical,WW,251,173,225
170,129,170129,170_129,Historical,WW,251,173,225
183,121,183121,183_121,Historical,WW,251,173,225
177,118,177118,177_118,Historical,WW,251,173,225
190,133,190133,190_133,Historical,WW,251,173,225
157,112,157112,157_112,Historical,WW,251,173,225
174,129,174129,174_129,Historical,WW,251,173,225
176,129,176129,176_129,Historical,WW,251,173,225
157,115,157115,157_115,Historical,WW,251,173,225
182,132,182132,182_132,Historical,WW,251,173,225
182,124,182124,182_124,Historical,WW,251,173,225
153,109,153109,153_109,Historical,WW,251,173,225
179,134,179134,179_134,Historical,WW,251,173,225
157,108,157108,157_108,Historical,WW,251,173,225
143,99,143099,143_99,Historical,WW,251,173,225
145,106,145106,145_106,Historical,WW,251,173,225
181,133,181133,181_133,Historical,WW,251,173,225
174,119,174119,174_119,Historical,WW,251,173,225
175,119,175119,175_119,Historical,WW,251,173,225
163,118,163118,163_118,Historical,WW,251,173,225
150,106,150106,150_106,Historical,WW,251,173,225
162,118,162118,162_118,Historical,WW,251,173,225
165,114,165114,165_114,Historical,WW,251,173,225
181,131,181131,181_131,Historical,WW,251,173,225
168,117,168117,168_117,Historical,WW,251,173,225
188,129,188129,188_129,Historical,WW,251,173,225
185,124,185124,185_124,Historical,WW,251,173,225
186,124,186124,186_124,Historical,WW,251,173,225
159,110,159110,159_110,Historical,WW,251,173,225
156,117,156117,156_117,Historical,WW,251,173,225
161,110,161110,161_110,Historical,WW,251,173,225
171,117,171117,171_117,Historical,WW,251,173,225
180,139,180139,180_139,Historical,WW,251,173,225
180,118,180118,180_118,Historical,WW,251,173,225
157,116,157116,157_116,Historical,WW,251,173,225
176,131,176131,176_131,Historical,WW,251,173,225
155,111,155111,155_111,Historical,WW,251,173,225
163,119,163119,163_119,Historical,WW,251,173,225
181,124,181124,181_124,Historical,WW,251,173,225
183,123,183123,183_123,Historical,WW,251,173,225
184,123,184123,184_123,Historical,WW,251,173,225
153,102,153102,153_102,Historical,WW,251,173,225
173,117,173117,173_117,Historical,WW,251,173,225
163,116,163116,163_116,Historical,WW,251,173,225
168,115,168115,168_115,Historical,WW,251,173,225
169,115,169115,169_115,Historical,WW,251,173,225
147,105,147105,147_105,Historical,WW,251,173,225
148,105,148105,148_105,Historical,WW,251,173,225
171,115,171115,171_115,Historical,WW,251,173,225
183,130,183130,183_130,Historical,WW,251,173,225
168,126,168126,168_126,Historical,WW,251,173,225
187,129,187129,187_129,Historical,WW,251,173,225
159,111,159111,159_111,Historical,WW,251,173,225
160,111,160111,160_111,Historical,WW,251,173,225
158,108,158108,158_108,Historical,WW,251,173,225
181,120,181120,181_120,Historical,WW,251,173,225
146,106,146106,146_106,Historical,WW,251,173,225
180,133,180133,180_133,Historical,WW,251,173,225
164,113,164113,164_113,Historical,WW,251,173,225
170,115,170115,170_115,Historical,WW,251,173,225
192,140,192140,192_140,Historical,WW,251,173,225
156,111,156111,156_111,Historical,WW,251,173,225
166,113,166113,166_113,Historical,WW,251,173,225
163,112,163112,163_112,Historical,WW,251,173,225
164,114,164114,164_114,Historical,WW,251,173,225
183,131,183131,183_131,Historical,WW,251,173,225
187,130,187130,187_130,Historical,WW,251,173,225
152,102,152102,152_102,Historical,WW,251,173,225
162,111,162111,162_111,Historical,WW,251,173,225
160,114,160114,160_114,Historical,WW,251,173,225
182,120,182120,182_120,Historical,WW,251,173,225
170,117,170117,170_117,Historical,WW,251,173,225
191,140,191140,191_140,Historical,WW,251,173,225
152,104,152104,152_104,Historical,WW,251,173,225
165,120,165120,165_120,Historical,WW,251,173,225
154,111,154111,154_111,Historical,WW,251,173,225
163,114,163114,163_114,Historical,WW,251,173,225
177,129,177129,177_129,Historical,WW,251,173,225
161,117,161117,161_117,Historical,WW,251,173,225
180,135,180135,180_135,Historical,WW,251,173,225
166,119,166119,166_119,Historical,WW,251,173,225
159,113,159113,159_113,Historical,WW,251,173,225
152,112,152112,152_112,Historical,WW,251,173,225
152,99,152099,152_99,Historical,WW,251,173,225
167,115,167115,167_115,Historical,WW,251,173,225
179,116,179116,179_116,Historical,WW,251,173,225
183,120,183120,183_120,Historical,WW,251,173,225
178,125,178125,178_125,Historical,WW,251,173,225
172,128,172128,172_128,Historical,WW,251,173,225
168,116,168116,168_116,Historical,WW,251,173,225
159,117,159117,159_117,Historical,WW,251,173,225
149,105,149105,149_105,Historical,WW,251,173,225
167,120,167120,167_120,Historical,WW,251,173,225
166,117,166117,166_117,Historical,WW,251,173,225
161,111,161111,161_111,Historical,WW,251,173,225
178,116,178116,178_116,Historical,WW,251,173,225
162,116,162116,162_116,Historical,WW,251,173,225
189,130,189130,189_130,Historical,WW,251,173,225
167,119,167119,167_119,Historical,WW,251,173,225
144,99,144099,144_99,Historical,WW,251,173,225
167,125,167125,167_125,Historical,WW,251,173,225
165,113,165113,165_113,Historical,WW,251,173,225
146,99,146099,146_99,Historical,WW,251,173,225
175,128,175128,175_128,Historical,WW,251,173,225
160,117,160117,160_117,Historical,WW,251,173,225
168,124,168124,168_124,Historical,WW,251,173,225
172,116,172116,172_116,Historical,WW,251,173,225
150,109,150109,150_109,Historical,WW,251,173,225
178,133,178133,178_133,Historical,WW,251,173,225
168,119,168119,168_119,Historical,WW,251,173,225
163,117,163117,163_117,Historical,WW,251,173,225
186,131,186131,186_131,Historical,WW,251,173,225
162,113,162113,162_113,Historical,WW,251,173,225
157,109,157109,157_109,Historical,WW,251,173,225
158,109,158109,158_109,Historical,WW,251,173,225
191,133,191133,191_133,Historical,WW,251,173,225
156,109,156109,156_109,Historical,WW,251,173,225
174,131,174131,174_131,Historical,WW,251,173,225
162,112,162112,162_112,Historical,WW,251,173,225
162,117,162117,162_117,Historical,WW,251,173,225
167,117,167117,167_117,Historical,WW,251,173,225
188,130,188130,188_130,Historical,WW,251,173,225
169,117,169117,169_117,Historical,WW,251,173,225
165,112,165112,165_112,Historical,WW,251,173,225
151,105,151105,151_105,Historical,WW,251,173,225
153,105,153105,153_105,Historical,WW,251,173,225
180,120,180120,180_120,Historical,WW,251,173,225
160,113,160113,160_113,Historical,WW,251,173,225
145,99,145099,145_99,Historical,WW,251,173,225
154,109,154109,154_109,Historical,WW,251,173,225
160,112,160112,160_112,Historical,WW,251,173,225
159,112,159112,159_112,Historical,WW,251,173,225
171,116,171116,171_116,Historical,WW,251,173,225
150,105,150105,150_105,Historical,WW,251,173,225
180,134,180134,180_134,Historical,WW,251,173,225
185,131,185131,185_131,Historical,WW,251,173,225
164,117,164117,164_117,Historical,WW,251,173,225
161,113,161113,161_113,Historical,WW,251,173,225
179,120,179120,179_120,Historical,WW,251,173,225
178,120,178120,178_120,Historical,WW,251,173,225
185,123,185123,185_123,Historical,WW,251,173,225
175,129,175129,175_129,Historical,WW,251,173,225
154,105,154105,154_105,Historical,WW,251,173,225
155,109,155109,155_109,Historical,WW,251,173,225
184,131,184131,184_131,Historical,WW,251,173,225
176,120,176120,176_120,Historical,WW,251,173,225
188,128,188128,188_128,Historical,WW,251,173,225
170,116,170116,170_116,Historical,WW,251,173,225
192,135,192135,192_135,Historical,WW,251,173,225
169,116,169116,169_116,Historical,WW,251,173,225
186,123,186123,186_123,Historical,WW,251,173,225
187,128,187128,187_128,Historical,WW,251,173,225
152,105,152105,152_105,Historical,WW,251,173,225
158,112,158112,158_112,Historical,WW,251,173,225
164,120,164120,164_120,Historical,WW,251,173,225
192,137,192137,192_137,Historical,WW,251,173,225
190,131,190131,190_131,Historical,WW,251,173,225
166,120,166120,166_120,Historical,WW,251,173,225
178,136,178136,178_136,Historical,WW,251,173,225
142,124,142124,142_124,Historical,WW,251,173,225
166,127,166127,166_127,Historical,WW,251,173,225
164,127,164127,164_127,Historical,WW,251,173,225
136,108,136108,136_108,Historical,WW,251,173,225
190,141,190141,190_141,Historical,WW,251,173,225
163,121,163121,163_121,Historical,WW,251,173,225
148,120,148120,148_120,Historical,WW,251,173,225
189,141,189141,189_141,Historical,WW,251,173,225
177,136,177136,177_136,Historical,WW,251,173,225
179,141,179141,179_141,Historical,WW,251,173,225
144,107,144107,144_107,Historical,WW,251,173,225
171,136,171136,171_136,Historical,WW,251,173,225
160,121,160121,160_121,Historical,WW,251,173,225
149,120,149120,149_120,Historical,WW,251,173,225
145,107,145107,145_107,Historical,WW,251,173,225
165,127,165127,165_127,Historical,WW,251,173,225
141,124,141124,141_124,Historical,WW,251,173,225
146,113,146113,146_113,Historical,WW,251,173,225
150,113,150113,150_113,Historical,WW,251,173,225
179,136,179136,179_136,Historical,WW,251,173,225
188,141,188141,188_141,Historical,WW,251,173,225
150,111,150111,150_111,Historical,WW,251,173,225
170,136,170136,170_136,Historical,WW,251,173,225
147,116,147116,147_116,Historical,WW,251,173,225
156,121,156121,156_121,Historical,WW,251,173,225
149,111,149111,149_111,Historical,WW,251,173,225
159,121,159121,159_121,Historical,WW,251,173,225
161,121,161121,161_121,Historical,WW,251,173,225
152,120,152120,152_120,Historical,WW,251,173,225
151,120,151120,151_120,Historical,WW,251,173,225
150,120,150120,150_120,Historical,WW,251,173,225
176,136,176136,176_136,Historical,WW,251,173,225
164,143,164143,164_143,Historical,WW,251,173,225
143,107,143107,143_107,Historical,WW,251,173,225
142,107,142107,142_107,Historical,WW,251,173,225
152,140,152140,152_140,Historical,WW,251,173,225
145,116,145116,145_116,Historical,WW,251,173,225
151,114,151114,151_114,Historical,WW,251,173,225
148,111,148111,148_111,Historical,WW,251,173,225
159,134,159134,159_134,Historical,WW,251,173,225
161,126,161126,161_126,Historical,WW,251,173,225
173,136,173136,173_136,Historical,WW,251,173,225
162,121,162121,162_121,Historical,WW,251,173,225
148,113,148113,148_113,Historical,WW,251,173,225
175,132,175132,175_132,Historical,WW,251,173,225
158,128,158128,158_128,Historical,WW,251,173,225
164,121,164121,164_121,Historical,WW,251,173,225
163,136,163136,163_136,Historical,WW,251,173,225
165,122,165122,165_122,Historical,WW,251,173,225
141,107,141107,141_107,Historical,WW,251,173,225
154,121,154121,154_121,Historical,WW,251,173,225
164,136,164136,164_136,Historical,WW,251,173,225
159,124,159124,159_124,Historical,WW,251,173,225
141,114,141114,141_114,Historical,WW,251,173,225
157,121,157121,157_121,Historical,WW,251,173,225
147,113,147113,147_113,Historical,WW,251,173,225
174,136,174136,174_136,Historical,WW,251,173,225
175,136,175136,175_136,Historical,WW,251,173,225
176,132,176132,176_132,Historical,WW,251,173,225
165,123,165123,165_123,Historical,WW,251,173,225
154,120,154120,154_120,Historical,WW,251,173,225
176,141,176141,176_141,Historical,WW,251,173,225
142,116,142116,142_116,Historical,WW,251,173,225
139,113,139113,139_113,Historical,WW,251,173,225
142,108,142108,142_108,Historical,WW,251,173,225
156,120,156120,156_120,Historical,WW,251,173,225
131,152,131152,131_152,Historical,WW,251,173,225
163,125,163125,163_125,Historical,WW,251,173,225
151,111,151111,151_111,Historical,WW,251,173,225
143,113,143113,143_113,Historical,WW,251,173,225
141,109,141109,141_109,Historical,WW,251,173,225
152,116,152116,152_116,Historical,WW,251,173,225
169,133,169133,169_133,Historical,WW,251,173,225
139,119,139119,139_119,Historical,WW,251,173,225
165,121,165121,165_121,Historical,WW,251,173,225
167,127,167127,167_127,Historical,WW,251,173,225
149,140,149140,149_140,Historical,WW,251,173,225
162,136,162136,162_136,Historical,WW,251,173,225
144,116,144116,144_116,Historical,WW,251,173,225
157,120,157120,157_120,Historical,WW,251,173,225
159,126,159126,159_126,Historical,WW,251,173,225
160,126,160126,160_126,Historical,WW,251,173,225
172,136,172136,172_136,Historical,WW,251,173,225
156,133,156133,156_133,Historical,WW,251,173,225
174,137,174137,174_137,Historical,WW,251,173,225
175,137,175137,175_137,Historical,WW,251,173,225
162,148,162148,162_148,Historical,WW,251,173,225
143,124,143124,143_124,Historical,WW,251,173,225
150,140,150140,150_140,Historical,WW,251,173,225
155,120,155120,155_120,Historical,WW,251,173,225
141,108,141108,141_108,Historical,WW,251,173,225
163,128,163128,163_128,Historical,WW,251,173,225
155,121,155121,155_121,Historical,WW,251,173,225
164,128,164128,164_128,Historical,WW,251,173,225
166,138,166138,166_138,Historical,WW,251,173,225
140,109,140109,140_109,Historical,WW,251,173,225
139,109,139109,139_109,Historical,WW,251,173,225
157,133,157133,157_133,Historical,WW,251,173,225
158,133,158133,158_133,Historical,WW,251,173,225
151,143,151143,151_143,Historical,WW,251,173,225
153,116,153116,153_116,Historical,WW,251,173,225
140,119,140119,140_119,Historical,WW,251,173,225
132,149,132149,132_149,Historical,WW,251,173,225
141,116,141116,141_116,Historical,WW,251,173,225
140,116,140116,140_116,Historical,WW,251,173,225
178,134,178134,178_134,Historical,WW,251,173,225
140,114,140114,140_114,Historical,WW,251,173,225
157,134,157134,157_134,Historical,WW,251,173,225
160,124,160124,160_124,Historical,WW,251,173,225
166,139,166139,166_139,Historical,WW,251,173,225
146,108,146108,146_108,Historical,WW,251,173,225
160,148,160148,160_148,Historical,WW,251,173,225
161,148,161148,161_148,Historical,WW,251,173,225
163,143,163143,163_143,Historical,WW,251,173,225
150,115,150115,150_115,Historical,WW,251,173,225
154,126,154126,154_126,Historical,WW,251,173,225
153,120,153120,153_120,Historical,WW,251,173,225
190,136,190136,190_136,Historical,WW,251,173,225
164,122,164122,164_122,Historical,WW,251,173,225
158,126,158126,158_126,Historical,WW,251,173,225
140,108,140108,140_108,Historical,WW,251,173,225
148,119,148119,148_119,Historical,WW,251,173,225
138,109,138109,138_109,Historical,WW,251,173,225
162,126,162126,162_126,Historical,WW,251,173,225
148,116,148116,148_116,Historical,WW,251,173,225
150,116,150116,150_116,Historical,WW,251,173,225
167,124,167124,167_124,Historical,WW,251,173,225
166,124,166124,166_124,Historical,WW,251,173,225
159,128,159128,159_128,Historical,WW,251,173,225
166,123,166123,166_123,Historical,WW,251,173,225
144,124,144124,144_124,Historical,WW,251,173,225
